,FCLTY_NM,EVENT_SDIV_NM,EVENT_NM,RENTLSPCE_BEGIN_DE,RENTLSPCE_END_DE,REQST_EVENT_NMPR_CO,EXCCLC_EVENT_NMPR_CO,ISE_ELSE_FLAG_NM,USE_DAY_CO,WEEKDAY_BEGIN,WEEKDAY_END,WEEKEND,HOLIDAY,YEAR_END,BEGIN_AVG_WEEKDAY,END_AVG_WEEKDAY,AVG_MONTH,년도,월,계절,텍스트,유사공연_가중평균
755,올림픽홀,대중공연,빅스 유닛 콘서트,2017-11-15,2017-11-19,2500,5400,내부,5,2,6,1,0,0,4465.204819,9046.74234,5637.125,2017년,11월,가을,올림픽홀 대중공연 빅스 유닛 콘서트 2017년 11월 가을 내부,4935.087739
756,핸드볼경기장,체육행사,세계케틀벨리프팅챔피언십대회,2017-11-16,2017-11-19,800,1800,내부,4,3,6,1,0,0,15796.44595,9046.74234,5637.125,2017년,11월,가을,핸드볼경기장 체육행사 세계케틀벨리프팅챔피언십대회 2017년 11월 가을 내부,2252.457543
757,올림픽홀,대중공연,플라이투더스카이 콘서트,2017-11-25,2017-11-26,5000,3080,내부,2,5,6,1,0,0,6682.392273,9046.74234,5637.125,2017년,11월,가을,올림픽홀 대중공연 플라이투더스카이 콘서트 2017년 11월 가을 내부,4252.933138
758,우리금융아트홀,문화예술행사,송승환의 명작동화 뮤지컬 호두까기인형,2017-11-25,2017-12-31,57300,27552,내부,37,5,6,1,1,1,6682.392273,9046.74234,5637.125,2017년,11월 12월,,우리금융아트홀 문화예술행사 송승환의 명작동화 뮤지컬 호두까기인형 2017년 11월 12월  내부,17067.26974
759,뮤즈라이브,문화예술행사,"우리,오랜날_ 배우 김현주 20주년 팬미팅",2017-11-26,2017-11-26,237,180,내부,1,6,6,1,0,0,4671.767123,9046.74234,5637.125,2017년,11월,가을,"뮤즈라이브 문화예술행사 우리,오랜날_ 배우 김현주 20주년 팬미팅 2017년 11월 가을 내부",1285.140871
760,올림픽홀,문화예술행사,2017 이승환 전국투어(가제),2017-12-01,2017-12-03,7500,6148,내부,3,4,6,1,0,0,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,K-아트홀 대중공연 2017 박지윤 데뷔 20주년 기념 콘서트 (가제) 2017년 12월 겨울 내부,1276.522936
761,K-아트홀,대중공연,2017 박지윤 데뷔 20주년 기념 콘서트 (가제),2017-12-01,2017-12-02,411,801,내부,2,4,5,1,0,0,9870.415686,3467.288401,9088.03012,2017년,12월,겨울,올림픽홀 문화예술행사 2017 이승환 전국투어(가제) 2017년 12월 겨울 내부,4142.629974
762,K-아트홀,순수예술공연,젊은 오광대전,2017-12-03,2017-12-03,250,235,내부,1,6,6,1,0,0,4671.767123,9046.74234,9088.03012,2017년,12월,겨울,K-아트홀 순수예술공연 젊은 오광대전 2017년 12월 겨울 내부,2365.601904
763,올림픽홀,대중공연,2017 박진영 나쁜파티,2017-12-08,2017-12-10,8400,7029,내부,3,4,6,1,0,0,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,올림픽홀 대중공연 2017 박진영 나쁜파티 2017년 12월 겨울 내부,4995.406465
764,K-아트홀,대중공연,2017 혁오 연말 콘서트,2017-12-08,2017-12-31,5423,5640,내부,24,4,6,1,1,1,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,K-아트홀 대중공연 2017 혁오 연말 콘서트 2017년 12월 겨울 내부,1297.728141
765,핸드볼경기장,문화예술행사,샤이니 종현 2번째 단독 콘서트,2017-12-09,2017-12-10,14000,7415,내부,2,5,6,1,0,0,6682.392273,9046.74234,9088.03012,2017년,12월,겨울,핸드볼경기장 문화예술행사 샤이니 종현 2번째 단독 콘서트 2017년 12월 겨울 내부,8375.717113
766,올림픽홀,대중공연,CBS 창사63주년 기념   크리스마스 재즈 콘서트,2017-12-11,2017-12-11,3000,1800,내부,1,0,0,0,0,0,4026.73913,19989.09615,9088.03012,2017년,12월,겨울,올림픽홀 대중공연 CBS 창사63주년 기념   크리스마스 재즈 콘서트 2017년 12월 겨울 내부,3091.858187
767,핸드볼경기장,문화예술행사,프로듀스101 시즌2 TOP11 콘서트,2017-12-15,2017-12-17,13000,30305,내부,3,4,6,1,0,0,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,핸드볼경기장 문화예술행사 프로듀스101 시즌2 TOP11 콘서트 2017년 12월 겨울 내부,8075.003469
768,올림픽홀,문화예술행사,2017 신승훈 콘서트,2017-12-15,2017-12-17,7800,7276,내부,3,4,6,1,0,0,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,올림픽홀 문화예술행사 2017 신승훈 콘서트 2017년 12월 겨울 내부,4679.853903
769,핸드볼경기장,문화예술행사,박정현 겨울 콘서트 'LET IT SNOW',2017-12-22,2017-12-24,2200,9419,내부,3,4,6,1,0,1,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,핸드볼경기장 문화예술행사 박정현 겨울 콘서트 'LET IT SNOW' 2017년 12월 겨울 내부,6909.512104
770,올림픽홀,문화예술행사,2017 김연우 크리스마스 콘서트 / 2017 김범수 연말 콘서트,2017-12-22,2017-12-31,2760,19305,내부,10,4,6,1,1,1,9870.415686,9046.74234,9088.03012,2017년,12월,겨울,올림픽홀 문화예술행사 2017 김연우 크리스마스 콘서트 / 2017 김범수 연말 콘서트 2017년 12월 겨울 내부,5497.574403
771,뮤즈라이브,문화예술행사,제6회 Rat A Tat 정기연주회,2017-12-27,2017-12-27,150,150,내부,1,2,2,0,0,1,4465.204819,5102.242857,9088.03012,2017년,12월,겨울,뮤즈라이브 문화예술행사 제6회 Rat A Tat 정기연주회 2017년 12월 겨울 내부,557.9003705
772,핸드볼경기장,문화예술행사,2017 DJ.DOC 콘서트,2017-12-30,2017-12-31,3500,3764,내부,2,5,6,1,0,1,6682.392273,9046.74234,9088.03012,2017년,12월,겨울,핸드볼경기장 문화예술행사 2017 DJ.DOC 콘서트 2017년 12월 겨울 내부,5835.485033
773,우리금융아트홀,문화예술행사,송승환의 명작동화 뮤지컬 호두까기인형(기획대관 추가금),2018-01-01,2018-01-14,57300,11991,내부,14,0,6,1,1,0,4026.73913,9046.74234,8519.324324,2018년,1월,겨울,우리금융아트홀 문화예술행사 송승환의 명작동화 뮤지컬 호두까기인형(기획대관 추가금) 2018년 1월 겨울 내부,27528.63755
774,뮤즈라이브,문화예술행사,모모랜드 미디어 및 팬쇼케이스,2018-01-03,2018-01-03,200,250,내부,1,2,2,0,0,0,4465.204819,5102.242857,8519.324324,2018년,1월,겨울,뮤즈라이브 문화예술행사 모모랜드 미디어 및 팬쇼케이스 2018년 1월 겨울 내부,742.2371525
775,올림픽홀,대중공연,2018 여자친구 콘서트,2018-01-06,2018-01-07,7000,5963,내부,2,5,6,1,0,0,6682.392273,9046.74234,8519.324324,2018년,1월,겨울,올림픽홀 대중공연 2018 여자친구 콘서트 2018년 1월 겨울 내부,3825.522582
776,뮤즈라이브,문화예술행사,하스스톤 KOREA 인비테이셔널 2017,2018-01-06,2018-01-06,150,70,내부,1,5,5,1,0,0,6682.392273,3467.288401,8519.324324,2018년,1월,겨울,뮤즈라이브 문화예술행사 하스스톤 KOREA 인비테이셔널 2017 2018년 1월 겨울 내부,3652.215496
777,핸드볼경기장,문화예술행사,2018 에이핑크(Apink) 콘서트,2018-01-12,2018-01-13,9000,6070,내부,2,4,5,1,0,0,9870.415686,3467.288401,8519.324324,2018년,1월,겨울,핸드볼경기장 문화예술행사 2018 에이핑크(Apink) 콘서트 2018년 1월 겨울 내부,7399.728042
778,올림픽홀,문화예술행사,2018 10CM 콘서트,2018-01-13,2018-01-14,6000,4005,내부,2,5,6,1,0,0,6682.392273,9046.74234,8519.324324,2018년,1월,겨울,올림픽홀 문화예술행사 2018 10CM 콘서트 2018년 1월 겨울 내부,4289.898571
779,올림픽홀,문화예술행사,2018 정용화 단독 콘서트,2018-01-20,2018-01-21,3000,4540,내부,2,5,6,1,0,0,6682.392273,9046.74234,8519.324324,2018년,1월,겨울,올림픽홀 문화예술행사 2018 정용화 단독 콘서트 2018년 1월 겨울 내부,5058.270212
780,올림픽홀,문화예술행사,2018 박원 콘서트,2018-01-25,2018-01-28,2800,2435,내부,4,3,6,1,0,0,15796.44595,9046.74234,8519.324324,2018년,1월,겨울,올림픽홀 문화예술행사 2018 박원 콘서트 2018년 1월 겨울 내부,5382.346873
781,핸드볼경기장,문화예술행사,2018 KIM JAE JOONG J-PARTY (가제),2018-01-27,2018-01-27,3000,2281,내부,1,5,5,1,0,0,6682.392273,3467.288401,8519.324324,2018년,1월,겨울,핸드볼경기장 문화예술행사 2018 KIM JAE JOONG J-PARTY (가제) 2018년 1월 겨울 내부,5902.853373
782,핸드볼경기장,문화예술행사,원오크록(ONE OK ROCK) 내한공연,2018-02-02,2018-02-02,5800,2884,내부,1,4,4,0,0,0,9870.415686,2788.224138,5050.405063,2018년,2월,겨울,핸드볼경기장 문화예술행사 원오크록(ONE OK ROCK) 내한공연 2018년 2월 겨울 내부,6397.595878
783,올림픽홀,문화예술행사,2018 JBJ 단독 콘서트,2018-02-03,2018-02-04,6400,6630,내부,2,5,6,1,0,0,6682.392273,9046.74234,5050.405063,2018년,2월,겨울,올림픽홀 문화예술행사 2018 JBJ 단독 콘서트 2018년 2월 겨울 내부,4369.613996
784,올림픽홀,문화예술행사,2017 백지영 콘서트 - 서울,2018-02-10,2018-02-10,5600,3788,내부,1,5,5,1,0,0,6682.392273,3467.288401,5050.405063,2018년,2월,겨울,올림픽홀 문화예술행사 2017 백지영 콘서트 - 서울 2018년 2월 겨울 내부,4892.812526
785,핸드볼경기장,문화예술행사,THE XX(더 엑스엑스) LIVE IN SEOUL,2018-02-13,2018-02-13,4000,1957,내부,1,1,1,0,0,0,5544.786885,6651.4375,5050.405063,2018년,2월,겨울,핸드볼경기장 문화예술행사 THE XX(더 엑스엑스) LIVE IN SEOUL 2018년 2월 겨울 내부,5568.565959
786,올림픽홀,대중공연,토토가3,2018-02-15,2018-02-15,3000,2450,내부,1,3,3,0,1,0,15796.44595,3046.842105,5050.405063,2018년,2월,겨울,올림픽홀 대중공연 토토가3 2018년 2월 겨울 내부,2989.985835
787,올림픽홀,문화예술행사,2018 Good News Corps Festival,2018-02-18,2018-02-18,3000,3040,내부,1,6,6,1,0,0,4671.767123,9046.74234,5050.405063,2018년,2월,겨울,올림픽홀 문화예술행사 2018 Good News Corps Festival 2018년 2월 겨울 내부,4437.541592
788,뮤즈라이브,문화예술행사,EBS 스페이스 공감,2018-02-22,2018-02-22,200,155,내부,1,3,3,0,0,0,15796.44595,3046.842105,5050.405063,2018년,2월,겨울,뮤즈라이브 문화예술행사 EBS 스페이스 공감 2018년 2월 겨울 내부,1135.873758
789,올림픽홀,대중공연,Youtube Fanfest,2018-02-24,2018-02-25,3000,1404,내부,2,5,6,1,0,0,6682.392273,9046.74234,5050.405063,2018년,2월,겨울,핸드볼경기장 문화예술행사 Youtbe Fanfest (유튜브 팬페스트) 2018년 2월 겨울 내부,7778.284845
790,핸드볼경기장,문화예술행사,Youtbe Fanfest (유튜브 팬페스트),2018-02-24,2018-02-25,3000,3250,내부,2,5,6,1,0,0,6682.392273,9046.74234,5050.405063,2018년,2월,겨울,올림픽홀 대중공연 Youtube Fanfest 2018년 2월 겨울 내부,3368.2888
791,뮤즈라이브,문화예술행사,벅스TV vol.36 - 테이크,2018-02-28,2018-02-28,240,130,내부,1,2,2,0,0,0,4465.204819,5102.242857,5050.405063,2018년,2월,겨울,뮤즈라이브 문화예술행사 벅스TV vol.36 - 테이크 2018년 2월 겨울 내부,365.0251219
792,올림픽홀,문화예술행사,EVERY DAY6 Concert Final (가제),2018-03-03,2018-03-04,3000,5328,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2018년,3월,봄,올림픽홀 문화예술행사 EVERY DAY6 Concert Final (가제) 2018년 3월 봄 내부,3684.087242
793,뮤즈라이브,문화예술행사,류세라 콘서트 봄b,2018-03-10,2018-03-10,180,350,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2018년,3월,봄,올림픽홀 대중공연 은지원 PRIVATE STAGE 2018 [In Between] (가제) 2018년 3월 봄 내부,4548.932744
794,우리금융아트홀,대중공연,2018 최백호 콘서트,2018-03-10,2018-03-10,1000,1186,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2018년,3월,봄,우리금융아트홀 대중공연 2018 최백호 콘서트 2018년 3월 봄 내부,3292.516794
795,올림픽홀,대중공연,은지원 PRIVATE STAGE 2018 [In Between] (가제),2018-03-10,2018-03-10,3500,3190,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2018년,3월,봄,뮤즈라이브 문화예술행사 류세라 콘서트 봄b 2018년 3월 봄 내부,851.0078928
796,우리금융아트홀,대중공연,김용임&진성 SHOW - 오늘이 젊은날·보릿고개,2018-03-11,2018-03-11,1000,1351,내부,1,6,6,1,0,0,4671.767123,9046.74234,7098.186916,2018년,3월,봄,우리금융아트홀 대중공연 김용임&진성 SHOW - 오늘이 젊은날·보릿고개 2018년 3월 봄 내부,3493.934333
797,올림픽홀,대중공연,iKON 2018 PRIVATE STAGE [MY KiND](가제),2018-03-11,2018-03-11,3500,2920,내부,1,6,6,1,0,0,4671.767123,9046.74234,7098.186916,2018년,3월,봄,올림픽홀 대중공연 iKON 2018 PRIVATE STAGE [MY KiND](가제) 2018년 3월 봄 내부,4386.95249
798,올림픽홀,대중공연,2018 존레전드 내한공연,2018-03-15,2018-03-15,2700,4190,내부,1,3,3,0,0,0,15796.44595,3046.842105,7098.186916,2018년,3월,봄,올림픽홀 대중공연 2018 존레전드 내한공연 2018년 3월 봄 내부,3084.755884
799,핸드볼경기장,문화예술행사,2018 뉴이스트W 단독콘서트,2018-03-16,2018-03-18,4500,15847,내부,3,4,6,1,0,0,9870.415686,9046.74234,7098.186916,2018년,3월,봄,핸드볼경기장 문화예술행사 2018 뉴이스트W 단독콘서트 2018년 3월 봄 내부,4349.32641
800,우리금융아트홀,대중공연,오페라 성냥소녀,2018-03-17,2018-03-17,800,688,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2018년,3월,봄,우리금융아트홀 대중공연 오페라 성냥소녀 2018년 3월 봄 내부,2160.804337
801,평화의광장,공공행사,서울국제마라톤 겸 제89회 동아마라톤,2018-03-18,2018-03-18,10000,10000,외부,1,6,6,1,0,0,4671.767123,9046.74234,7098.186916,2018년,3월,봄,평화의광장 공공행사 서울국제마라톤 겸 제89회 동아마라톤 2018년 3월 봄 외부,2702.042898
802,K-아트홀,문화예술행사,e-스포츠 오버워치 컨텐더스 리그전,2018-03-19,2018-04-22,493,4242,내부,35,0,6,1,0,0,4026.73913,9046.74234,7098.186916,2018년,3월 4월,,K-아트홀 문화예술행사 e-스포츠 오버워치 컨텐더스 리그전 2018년 3월 4월  내부,3747.756945
803,뮤즈라이브,문화예술행사,2018년 문화가있는날 청춘마이크 청년예술가 발대식 및 워크숍,2018-03-22,2018-03-22,200,100,내부,1,3,3,0,0,0,15796.44595,3046.842105,7098.186916,2018년,3월,봄,뮤즈라이브 문화예술행사 2018년 문화가있는날 청춘마이크 청년예술가 발대식 및 워크숍 2018년 3월 봄 내부,478.1590756
804,올림픽홀,문화예술행사,2018 나훈아 드림콘서트,2018-03-23,2018-03-25,3000,8421,내부,3,4,6,1,0,0,9870.415686,9046.74234,7098.186916,2018년,3월,봄,올림픽홀 문화예술행사 2018 나훈아 드림콘서트 2018년 3월 봄 내부,5039.115425
805,핸드볼경기장,문화예술행사,SHINHWA？20years Anniversary FANMEETING   ‘THE REAL STORY’  (가제),2018-03-24,2018-03-25,3500,10234,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2018년,3월,봄,핸드볼경기장 문화예술행사 SHINHWA？20years Anniversary FANMEETING   ‘THE REAL STORY’  (가제) 2018년 3월 봄 내부,6847.309795
806,뮤즈라이브,문화예술행사,홍경민 9th 톡서트,2018-03-30,2018-04-01,792,668,내부,3,4,6,1,0,0,9870.415686,9046.74234,7098.186916,2018년,3월 4월,,핸드볼경기장 체육행사 2018 서울SK텔레콤 국제 그랑프리대회 2018년 3월 4월  내부,5485.755039
807,핸드볼경기장,체육행사,2018 서울SK텔레콤 국제 그랑프리대회,2018-03-30,2018-04-02,800,1200,내부,4,4,0,0,0,0,9870.415686,19989.09615,7098.186916,2018년,3월 4월,,뮤즈라이브 문화예술행사 홍경민 9th 톡서트 2018년 3월 4월  내부,619.0149754
808,올림픽홀,대중공연,인순이 데뷔 40주년 기념 전국투어 콘서트 - 서울,2018-03-31,2018-04-01,2300,1690,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2018년,3월 4월,,올림픽홀 대중공연 인순이 데뷔 40주년 기념 전국투어 콘서트 - 서울 2018년 3월 4월  내부,2784.521108
809,우리금융아트홀,문화예술행사,코코몽 뮤지컬 <꼼짝마 바이러스>,2018-03-31,2018-04-01,3550,1631,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2018년,3월 4월,,우리금융아트홀 문화예술행사 코코몽 뮤지컬 <꼼짝마 바이러스> 2018년 3월 4월  내부,12987.94256
810,우리금융아트홀,대중공연,2018 넬 콘서트,2018-04-06,2018-04-15,5000,5362,내부,10,4,6,1,0,0,9870.415686,9046.74234,5306.733333,2018년,4월,봄,우리금융아트홀 대중공연 2018 넬 콘서트 2018년 4월 봄 내부,2818.80696
811,올림픽홀,대중공연,이준기 팬미팅,2018-04-07,2018-04-07,3000,1366,내부,1,5,5,1,0,0,6682.392273,3467.288401,5306.733333,2018년,4월,봄,올림픽홀 대중공연 이준기 팬미팅 2018년 4월 봄 내부,2154.907315
812,올림픽홀,대중공연,2018 유선호 팬미팅 (가제),2018-04-14,2018-04-14,2200,1050,내부,1,5,5,1,0,0,6682.392273,3467.288401,5306.733333,2018년,4월,봄,올림픽홀 대중공연 2018 유선호 팬미팅 (가제) 2018년 4월 봄 내부,3303.975955
813,핸드볼경기장,체육행사,제28회 송파구청장기 배드민턴대회,2018-04-15,2018-04-15,1450,1000,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2018년,4월,봄,핸드볼경기장 체육행사 제28회 송파구청장기 배드민턴대회 2018년 4월 봄 내부,1369.683162
814,핸드볼경기장,문화예술행사,2018 JBJ 앵콜 콘서트,2018-04-21,2018-04-22,9000,7449,내부,2,5,6,1,0,0,6682.392273,9046.74234,5306.733333,2018년,4월,봄,핸드볼경기장 문화예술행사 2018 JBJ 앵콜 콘서트 2018년 4월 봄 내부,8110.312669
815,올림픽홀,대중공연,OneRepublic(원리퍼블릭) 내한공연,2018-04-27,2018-04-27,4200,3770,내부,1,4,4,0,0,0,9870.415686,2788.224138,5306.733333,2018년,4월,봄,올림픽홀 대중공연 OneRepublic(원리퍼블릭) 내한공연 2018년 4월 봄 내부,2503.414238
816,핸드볼경기장,체육행사,제15회 회장배 전국댄스스포츠 선수권 대회,2018-04-29,2018-04-29,1000,600,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2018년,4월,봄,핸드볼경기장 체육행사 제15회 회장배 전국댄스스포츠 선수권 대회 2018년 4월 봄 내부,1003.89833
817,핸드볼경기장,체육행사,제7회 일요신문배 전국 어린이 바둑대회,2018-05-05,2018-05-05,700,1000,내부,1,5,5,1,1,0,6682.392273,3467.288401,7317.985075,2018년,5월,봄,올림픽홀 대중공연 다비치 10주년 기념 콘서트 2018년 5월 봄 내부,2929.820438
818,올림픽홀,대중공연,다비치 10주년 기념 콘서트,2018-05-05,2018-05-06,5000,3260,내부,2,5,6,1,1,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,핸드볼경기장 체육행사 제7회 일요신문배 전국 어린이 바둑대회 2018년 5월 봄 내부,848.2323871
819,핸드볼경기장,공공행사,제46회 어버이날기념행사,2018-05-08,2018-05-08,3000,3100,내부,1,1,1,0,0,0,5544.786885,6651.4375,7317.985075,2018년,5월,봄,핸드볼경기장 공공행사 제46회 어버이날기념행사 2018년 5월 봄 내부,1037.262288
820,핸드볼경기장,문화예술행사,뷰티풀 민트 라이프 2018,2018-05-12,2018-05-13,2500,7428,내부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,88잔디마당 문화예술행사 뷰티풀 민트 라이프 2018 2018년 5월 봄 외부,7427.114347
821,평화의광장,문화예술행사,2018가족e스포츠페스티벌,2018-05-12,2018-05-13,10000,5000,외부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,평화의광장 문화예술행사 2018가족e스포츠페스티벌 2018년 5월 봄 외부,3883.452184
822,88잔디마당,문화예술행사,뷰티풀 민트 라이프 2018,2018-05-12,2018-05-13,7000,11822,외부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,핸드볼경기장 문화예술행사 뷰티풀 민트 라이프 2018 2018년 5월 봄 내부,7700.582421
823,올림픽홀,문화예술행사,제12회 서울재즈페스티벌(Seoul Jazz Festival) 2018,2018-05-19,2018-05-20,23000,22000,내부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,올림픽홀 문화예술행사 제12회 서울재즈페스티벌(Seoul Jazz Festival) 2018 2018년 5월 봄 내부,12978.32843
824,핸드볼경기장,체육행사,제14회 한국체육대학교총장배 전국태권도대회,2018-05-21,2018-05-23,1000,2500,내부,3,0,2,0,1,0,4026.73913,5102.242857,7317.985075,2018년,5월,봄,핸드볼경기장 체육행사 제14회 한국체육대학교총장배 전국태권도대회 2018년 5월 봄 내부,1201.890603
825,피크닉광장,공공행사,농협동인회 한마음 걷기대회,2018-05-24,2018-05-24,600,600,외부,1,3,3,0,0,0,15796.44595,3046.842105,7317.985075,2018년,5월,봄,피크닉광장 공공행사 농협동인회 한마음 걷기대회 2018년 5월 봄 외부,1544.729811
826,올림픽홀,대중공연,2018 팬텀 vs 팬텀 콘서트 (가칭),2018-05-26,2018-05-27,2700,3430,내부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,88잔디마당 문화예술행사 패밀리페스티벌(가제) 2018년 5월 봄 외부,5340.628011
827,88잔디마당,문화예술행사,패밀리페스티벌(가제),2018-05-26,2018-05-27,5000,13297,외부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2018년,5월,봄,올림픽홀 대중공연 2018 팬텀 vs 팬텀 콘서트 (가칭) 2018년 5월 봄 내부,4152.545375
828,K-아트홀,대중공연,프리스틴 쇼케이스,2018-05-28,2018-05-28,300,380,내부,1,0,0,0,0,0,4026.73913,19989.09615,7317.985075,2018년,5월,봄,K-아트홀 대중공연 프리스틴 쇼케이스 2018년 5월 봄 내부,583.5135465
829,뮤즈라이브,문화예술행사,셀럽티비 라이브데이 공개방송,2018-05-31,2018-05-31,200,140,내부,1,3,3,0,0,0,15796.44595,3046.842105,7317.985075,2018년,5월,봄,뮤즈라이브 문화예술행사 셀럽티비 라이브데이 공개방송 2018년 5월 봄 내부,197.2612595
830,우리금융아트홀,문화예술행사,안녕자두야 우당탕탕 오디션 대소동,2018-06-01,2018-06-24,22000,14675,내부,24,4,6,1,1,0,9870.415686,9046.74234,6191.480392,2018년,6월,여름,우리금융아트홀 문화예술행사 안녕자두야 우당탕탕 오디션 대소동 2018년 6월 여름 내부,7480.947252
831,뮤즈라이브,문화예술행사,밴드 '기프트' 단독 콘서트,2018-06-01,2018-06-01,220,200,내부,1,4,4,0,0,0,9870.415686,2788.224138,6191.480392,2018년,6월,여름,뮤즈라이브 문화예술행사 밴드 '기프트' 단독 콘서트 2018년 6월 여름 내부,214.2950858
832,뮤즈라이브,문화예술행사,2018 자이로(Zairo) 콘서트,2018-06-02,2018-06-03,230,283,내부,2,5,6,1,0,0,6682.392273,9046.74234,6191.480392,2018년,6월,여름,K-아트홀 순수예술공연 상주단체공연 <길위에서 별을 만지다> 2018년 6월 여름 내부,2982.242519
833,K-아트홀,순수예술공연,상주단체공연 <길위에서 별을 만지다>,2018-06-02,2018-06-02,300,521,내부,1,5,5,1,0,0,6682.392273,3467.288401,6191.480392,2018년,6월,여름,뮤즈라이브 문화예술행사 2018 자이로(Zairo) 콘서트 2018년 6월 여름 내부,4581.41558
834,88잔디마당,문화예술행사,2018 팬텀싱어 페스티벌,2018-06-09,2018-06-10,12000,5185,외부,2,5,6,1,0,0,6682.392273,9046.74234,6191.480392,2018년,6월,여름,88잔디마당 문화예술행사 2018 팬텀싱어 페스티벌 2018년 6월 여름 외부,10484.68724
835,올림픽홀,대중공연,iKON 2018 PRIVATE STAGE(가제),2018-06-09,2018-06-09,3500,5350,내부,1,5,5,1,0,0,6682.392273,3467.288401,6191.480392,2018년,6월,여름,올림픽홀 대중공연 iKON 2018 PRIVATE STAGE(가제) 2018년 6월 여름 내부,3333.602612
836,K-아트홀,대중공연,쏜애플 콘서트,2018-06-15,2018-06-17,350,1096,내부,3,4,6,1,0,0,9870.415686,9046.74234,6191.480392,2018년,6월,여름,K-아트홀 대중공연 쏜애플 콘서트 2018년 6월 여름 내부,1042.763192
837,88잔디마당,문화예술행사,2018 파크 뮤직 페스티벌,2018-06-16,2018-06-17,25000,22238,외부,2,5,6,1,0,0,6682.392273,9046.74234,6191.480392,2018년,6월,여름,88잔디마당 문화예술행사 2018 파크 뮤직 페스티벌 2018년 6월 여름 외부,7162.742733
838,올림픽홀,대중공연,WINNER 2018 PRIVATE STAGE [#위너는토론중 WWIC 2018] (가제),2018-06-17,2018-06-17,3000,5930,내부,1,6,6,1,0,0,4671.767123,9046.74234,6191.480392,2018년,6월,여름,올림픽홀 대중공연 WINNER 2018 PRIVATE STAGE [#위너는토론중 WWIC 2018] (가제) 2018년 6월 여름 내부,3811.115273
839,올림픽홀,문화예술행사,2018 DAY6 단독 콘서트 (가제),2018-06-22,2018-06-24,6000,6962,내부,3,4,6,1,0,0,9870.415686,9046.74234,6191.480392,2018년,6월,여름,올림픽홀 문화예술행사 2018 DAY6 단독 콘서트 (가제) 2018년 6월 여름 내부,4436.211596
840,K-아트홀,대중공연,RBW BOYZ＋MAS ‘데뷔하겠습니다’ Chapter．6,2018-06-24,2018-06-24,400,441,내부,1,6,6,1,0,0,4671.767123,9046.74234,6191.480392,2018년,6월,여름,K-아트홀 대중공연 RBW BOYZ＋MAS ‘데뷔하겠습니다’ Chapter．6 2018년 6월 여름 내부,1063.647458
841,올림픽홀,대중공연,뉴이스트W 미니 2집 앨범 발매 쇼케이스,2018-06-25,2018-06-25,3000,2712,내부,1,0,0,0,0,0,4026.73913,19989.09615,6191.480392,2018년,6월,여름,올림픽홀 대중공연 뉴이스트W 미니 2집 앨범 발매 쇼케이스 2018년 6월 여름 내부,2609.263871
842,뮤즈라이브,문화예술행사,셀럽티비 라이브데이 2회 공개방송,2018-06-28,2018-06-28,200,110,내부,1,3,3,0,0,0,15796.44595,3046.842105,6191.480392,2018년,6월 7월,,K-아트홀 순수예술공연 상주단체공연 <만주전선> 2018년 6월 7월  내부,2148.175467
843,K-아트홀,순수예술공연,상주단체공연 <만주전선>,2018-06-28,2018-07-01,300,1333,내부,4,3,6,1,0,0,15796.44595,9046.74234,6191.480392,2018년,6월,여름,뮤즈라이브 문화예술행사 셀럽티비 라이브데이 2회 공개방송 2018년 6월 여름 내부,384.6426496
844,올림픽홀,대중공연,이선희 콘서트 -리메이크 음반 발매기념,2018-06-29,2018-07-01,9000,8681,내부,3,4,6,1,0,0,9870.415686,9046.74234,6191.480392,2018년,6월 7월,,올림픽홀 대중공연 이선희 콘서트 -리메이크 음반 발매기념 2018년 6월 7월  내부,4169.280486
